portion	naivProd	naivCons	fairProd	fairCons
37	2.81892E-5	1.74064E-5	0.001009331	0.0072592058
38	2.15548E-5	5.7896000000000004E-6	0.0021078466000000002	0.0024267337999999998
39	2.01652E-5	2.3526E-5	0.0039727066	0.004598866599999999
40	2.1262E-5	6.311399999999999E-6	7.093942E-4	0.009355091800000001
41	1.73116E-5	1.58678E-5	4.282452E-4	0.0072768176
42	4.8222E-6	2.5469599999999998E-5	0.0066977514	0.0014056066
43	6.659600000000001E-6	5.3922E-6	0.005284947599999999	2.0985799999999998E-5
44	8.0978E-6	4.4724E-6	0.0032623142	0.0041559014
45	7.398399999999999E-6	2.2880400000000002E-5	7.9076E-6	3.677964E-4
46	6.615E-6	5.927399999999999E-6	0.0023973528	0.006127784
47	6.7336E-6	6.3892E-6	5.2066E-6	0.002396829
48	1.5591E-5	1.31326E-5	0.0038699866	2.5152E-4
49	4.1883999999999996E-6	1.94656E-5	0.0042238322	4.5032E-5
50	1.66694E-5	2.96892E-5	3.470856E-4	0.0019101762
51	1.90294E-5	1.11508E-5	0.0067026712	0.0039585336
52	1.74242E-5	2.06404E-5	2.59449E-4	0.0020727252
53	4.6572E-6	1.00274E-5	9.0E-5	0.0012529118
54	5.5154E-6	1.58892E-5	6.549194E-4	3.1258779999999997E-4
55	1.75522E-5	9.082200000000001E-6	4.7606840000000004E-4	0.0036781906000000002
56	1.51816E-5	2.1762799999999998E-5	8.112541999999999E-4	0.001796063
57	8.855799999999999E-6	6.3036E-6	0.002648205	9.45501E-4
58	7.8314E-6	2.25206E-5	1.4474E-5	4.3994E-6
59	2.00596E-5	9.6182E-6	0.0092905306	0.0033554327999999996
60	1.54504E-5	4.364E-6	0.0047953028	0.002121374
61	3.2932800000000004E-5	1.778E-5	6.233600000000001E-6	0.0020234754
62	2.07382E-5	5.8336E-6	0.0066170136	7.169316E-4
63	1.08744E-5	3.9268E-6	4.50967E-4	0.0030131184
64	6.1611999999999996E-6	5.9082E-6	6.24109E-4	0.0023480982000000004
65	6.1881999999999995E-6	4.9888E-6	6.177E-6	0.0027787772
66	9.6016E-6	7.6392E-6	0.0013265706	3.7982E-6
67	8.200200000000002E-6	9.815E-6	1.3533E-5	6.39164E-4
68	4.0863E-5	2.1832E-5	0.0037123914	0.001836827
69	1.56714E-5	1.5453799999999998E-5	1.28292E-5	7.999875999999999E-4
70	1.38942E-5	2.0909E-5	0.0045453498	0.0016412356
71	7.92382E-5	2.32724E-5	0.0057565132000000005	0.001382553
72	5.317399999999999E-6	7.5072E-6	0.0050849126	6.21514E-5
73	1.8481200000000002E-5	1.02742E-5	0.001352012	0.0012472736000000001
74	1.0761E-5	1.85788E-5	0.002023346	4.870504E-4
75	3.027E-5	4.781E-6	0.0015392106	0.0026205322
76	1.3729E-5	3.8755800000000006E-5	0.002941002	0.003975858200000001
77	1.38008E-5	1.933216E-4	0.0024240606000000002	0.0029968372
78	1.2936E-5	8.1426E-6	0.0015198164	0.0035964943999999997
79	1.3646E-5	1.06372E-5	0.0012646678	5.515612E-4
80	1.9748200000000002E-5	1.20192E-5	2.704482E-4	0.0018108663999999999
81	6.108E-6	0.001487085	0.0041268962	0.0057327662
82	6.716E-6	1.0037200000000001E-5	9.718308000000001E-4	9.734799999999999E-6
83	1.55998E-5	1.26818E-5	0.001842502	0.0021462002
84	3.0398E-6	5.0082E-6	4.355462E-4	2.0632E-6
85	1.196906E-4	6.2034E-6	3.9869659999999997E-4	0.0041585904
86	6.700600000000001E-6	1.15956E-5	0.0015303524	4.126958E-4
87	8.108E-6	1.41356E-5	0.0030970206	0.00310652
88	1.3014200000000002E-5	9.8322E-6	0.0035221562000000003	0.0047634617999999995
89	5.9744E-6	7.7444E-6	5.6688E-6	0.002672675
90	3.884E-6	8.846399999999999E-6	6.400124E-4	0.0012773513999999998
91	3.17228E-5	5.4552E-6	9.616528000000001E-4	0.0018483844
92	1.57784E-5	3.3801800000000006E-5	0.0012898783999999999	9.354675999999999E-4
93	7.4092E-6	1.2017E-5	0.0019635822	9.270875999999999E-4
94	1.6774E-5	2.19196E-5	7.698E-6	0.0025132616
